SalesOrder,CreationDate,Customer,CustomerName,MaterialNumber,MaterialDescription,NetValue,Currency,OrderQuantity,SalesUnit
1000001,2026-03-01,1001,Acme Corp,MAT-001,Industrial Router,15000.00,USD,150,PC
1000002,2026-03-02,1002,Global Tech,MAT-002,Switch Controller,8500.00,USD,85,PC
1000003,2026-03-05,1003,Fast Networks,MAT-001,Industrial Router,5000.00,USD,50,PC
1000004,2026-03-08,1001,Acme Corp,MAT-003,Fiber Cable 100m,2200.00,USD,10,RL
1000005,2026-03-12,1004,Data Systems,MAT-002,Switch Controller,12500.00,USD,125,PC
1000006,2026-03-15,1005,Cloud Inc,MAT-004,Server Rack,45000.00,USD,15,PC
1000007,2026-03-18,1002,Global Tech,MAT-001,Industrial Router,7500.00,USD,75,PC
1000008,2026-03-20,1003,Fast Networks,MAT-005,Network Adapter,1200.00,USD,60,PC
1000009,2026-03-22,1001,Acme Corp,MAT-004,Server Rack,15000.00,USD,5,PC
1000010,2026-03-25,1004,Data Systems,MAT-001,Industrial Router,8000.00,USD,80,PC
1000011,2026-03-26,1005,Cloud Inc,MAT-002,Switch Controller,25000.00,USD,250,PC
1000012,2026-03-28,1002,Global Tech,MAT-003,Fiber Cable 100m,6600.00,USD,30,RL
1000013,2026-04-01,1001,Acme Corp,MAT-001,Industrial Router,9000.00,USD,90,PC
1000014,2026-04-02,1003,Fast Networks,MAT-004,Server Rack,27000.00,USD,9,PC
1000015,2026-04-05,1004,Data Systems,MAT-005,Network Adapter,3000.00,USD,150,PC
1000016,2026-04-08,1005,Cloud Inc,MAT-001,Industrial Router,18000.00,USD,180,PC
1000017,2026-04-10,1002,Global Tech,MAT-002,Switch Controller,16000.00,USD,160,PC
1000018,2026-04-12,1001,Acme Corp,MAT-005,Network Adapter,900.00,USD,45,PC
1000019,2026-04-15,1004,Data Systems,MAT-004,Server Rack,12000.00,USD,4,PC
1000020,2026-04-18,1003,Fast Networks,MAT-002,Switch Controller,6500.00,USD,65,PC
